Day,Meal,Food,Mike_amount,Ana_amount
Monday,Breakfast,Skyr,250,180.0
Monday,Breakfast,Beeren,50,40.0
Monday,Breakfast,Nüsse,15,10.0
Monday,Lunch,Hähnchen,200,140.0
Monday,Lunch,Reis,180,120.0
Monday,Lunch,Brokkoli,150,120.0
Monday,Dinner,Eier,3,2.0
Monday,Dinner,Spinat,100,80.0
Monday,Snack,Apfel,1,1.0
Monday,Snack,Proteinshake,1,1.0
Tuesday,Breakfast,Proteinshake,1,1.0
Tuesday,Breakfast,Banane,1,0.5
Tuesday,Lunch,Lachs,180,130.0
Tuesday,Lunch,Kartoffeln,250,180.0
Tuesday,Lunch,Spargel,150,120.0
Tuesday,Dinner,Hüttenkäse,200,150.0
Tuesday,Dinner,Avocado,100,70.0
Tuesday,Snack,Mandeln,20,15.0
Wednesday,Breakfast,Skyr,250,180.0
Wednesday,Breakfast,Beeren,50,40.0
Wednesday,Lunch,Rind,180,130.0
Wednesday,Lunch,Quinoa,150,100.0
Wednesday,Lunch,Gemüse,150,120.0
Wednesday,Dinner,Thunfisch,150,120.0
Wednesday,Dinner,Ei,1,1.0
Wednesday,Snack,Proteinshake,1,1.0
Thursday,Breakfast,Omelette Eier,3,2.0
Thursday,Breakfast,Vollkornbrot,1,0.5
Thursday,Lunch,Hähnchen,200,140.0
Thursday,Lunch,Reis,180,120.0
Thursday,Lunch,Gemüse,150,120.0
Thursday,Dinner,Skyr,250,180.0
Thursday,Dinner,Beeren,50,40.0
Thursday,Snack,Apfel,1,1.0
Friday,Breakfast,Skyr,250,180.0
Friday,Breakfast,Beeren,50,40.0
Friday,Breakfast,Nüsse,15,10.0
Friday,Lunch,Lachs,180,130.0
Friday,Lunch,Reis,180,120.0
Friday,Lunch,Avocado,80,60.0
Friday,Dinner,Omelette Eier,3,2.0
Friday,Snack,Proteinshake,1,1.0
Saturday,Breakfast,Proteinshake,1,1.0
Saturday,Breakfast,Banane,1,0.5
Saturday,Lunch,Steak,200,140.0
Saturday,Lunch,Kartoffeln,250,180.0
Saturday,Lunch,Salat,150,120.0
Saturday,Dinner,Hüttenkäse,200,150.0
Saturday,Dinner,Tomaten,100,80.0
Saturday,Snack,Dunkle Schokolade,20,15.0
Sunday,Breakfast,Skyr,250,180.0
Sunday,Breakfast,Beeren,50,40.0
Sunday,Breakfast,Nüsse,15,10.0
Sunday,Lunch,Hähnchen,200,140.0
Sunday,Lunch,Quinoa,150,100.0
Sunday,Lunch,Ofengemüse,150,120.0
Sunday,Dinner,Thunfisch,150,120.0
Sunday,Snack,Proteinshake,1,1.0


